image_id,modality,organ,annotated_region,source
I2140,MRI,Abdomen,Lung abnormality,MIDRC
I2141,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2142,MRI,Brain,Lung abnormality,MIDRC
I2143,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2144,MRI,Lung,Brain abnormality,MIDRC
I2145,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2146,MRI,Abdomen,Muscle abnormality,MIDRC
I2147,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2148,MRI,Brain,Abdomen abnormality,MIDRC
I2149,CT,Lung,Brain abnormality,RAD-ChestXR
I2150,MRI,Lung,Abdomen abnormality,MIDRC
I2151,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2152,MRI,Muscle,Brain abnormality,MIDRC
I2153,CT,Lung,Muscle abnormality,RAD-ChestXR
I2154,MRI,Lung,Brain abnormality,MIDRC
I2155,CT,Brain,Muscle abnormality,RAD-ChestXR
I2156,MRI,Lung,Brain abnormality,MIDRC
I2157,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2158,MRI,Muscle,Lung abnormality,MIDRC
I2159,CT,Brain,Lung abnormality,RAD-ChestXR
I2160,MRI,Abdomen,Brain abnormality,MIDRC
I2161,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2162,MRI,Brain,Abdomen abnormality,MIDRC
I2163,CT,Lung,Lung abnormality,RAD-ChestXR
I2164,MRI,Abdomen,Brain abnormality,MIDRC
I2165,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2166,MRI,Abdomen,Muscle abnormality,MIDRC
I2167,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2168,MRI,Brain,Abdomen abnormality,MIDRC
I2169,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2170,MRI,Abdomen,Brain abnormality,MIDRC
I2171,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2172,MRI,Abdomen,Muscle abnormality,MIDRC
I2173,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2174,MRI,Brain,Abdomen abnormality,MIDRC
I2175,CT,Lung,Muscle abnormality,RAD-ChestXR
I2176,MRI,Muscle,Lung abnormality,MIDRC
I2177,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2178,MRI,Lung,Brain abnormality,MIDRC
I2179,CT,Muscle,Lung abnormality,RAD-ChestXR
I2180,MRI,Lung,Abdomen abnormality,MIDRC
I2181,CT,Brain,Lung abnormality,RAD-ChestXR
I2182,MRI,Lung,Muscle abnormality,MIDRC
I2183,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2184,MRI,Lung,Muscle abnormality,MIDRC
I2185,CT,Lung,Lung abnormality,RAD-ChestXR
I2186,MRI,Muscle,Lung abnormality,MIDRC
I2187,CT,Brain,Brain abnormality,RAD-ChestXR
I2188,MRI,Brain,Muscle abnormality,MIDRC
I2189,CT,Lung,Brain abnormality,RAD-ChestXR
I2190,MRI,Abdomen,Brain abnormality,MIDRC
I2191,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2192,MRI,Lung,Muscle abnormality,MIDRC
I2193,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2194,MRI,Abdomen,Abdomen abnormality,MIDRC
I2195,CT,Muscle,Lung abnormality,RAD-ChestXR
I2196,MRI,Brain,Abdomen abnormality,MIDRC
I2197,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2198,MRI,Abdomen,Muscle abnormality,MIDRC
I2199,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2200,MRI,Brain,Brain abnormality,MIDRC
I2201,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2202,MRI,Lung,Abdomen abnormality,MIDRC
I2203,CT,Muscle,Lung abnormality,RAD-ChestXR
I2204,MRI,Muscle,Brain abnormality,MIDRC
I2205,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2206,MRI,Brain,Abdomen abnormality,MIDRC
I2207,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2208,MRI,Muscle,Brain abnormality,MIDRC
I2209,CT,Brain,Brain abnormality,RAD-ChestXR
I2210,MRI,Lung,Lung abnormality,MIDRC
I2211,CT,Lung,Muscle abnormality,RAD-ChestXR
I2212,MRI,Lung,Muscle abnormality,MIDRC
I2213,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2214,MRI,Brain,Muscle abnormality,MIDRC
I2215,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2216,MRI,Muscle,Muscle abnormality,MIDRC
I2217,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2218,MRI,Muscle,Brain abnormality,MIDRC
I2219,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2220,MRI,Muscle,Brain abnormality,MIDRC
I2221,CT,Lung,Brain abnormality,RAD-ChestXR
I2222,MRI,Abdomen,Lung abnormality,MIDRC
I2223,CT,Brain,Lung abnormality,RAD-ChestXR
I2224,MRI,Brain,Lung abnormality,MIDRC
I2225,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2226,MRI,Lung,Brain abnormality,MIDRC
I2227,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2228,MRI,Lung,Muscle abnormality,MIDRC
I2229,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2230,MRI,Lung,Brain abnormality,MIDRC
I2231,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2232,MRI,Muscle,Brain abnormality,MIDRC
I2233,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2234,MRI,Muscle,Abdomen abnormality,MIDRC
I2235,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2236,MRI,Lung,Brain abnormality,MIDRC
I2237,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2238,MRI,Abdomen,Muscle abnormality,MIDRC
I2239,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2240,MRI,Abdomen,Lung abnormality,MIDRC
I2241,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2242,MRI,Brain,Abdomen abnormality,MIDRC
I2243,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2244,MRI,Brain,Muscle abnormality,MIDRC
I2245,CT,Brain,Brain abnormality,RAD-ChestXR
I2246,MRI,Lung,Muscle abnormality,MIDRC
I2247,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2248,MRI,Brain,Brain abnormality,MIDRC
I2249,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2250,MRI,Muscle,Lung abnormality,MIDRC
I2251,CT,Muscle,Lung abnormality,RAD-ChestXR
I2252,MRI,Brain,Muscle abnormality,MIDRC
I2253,CT,Lung,Lung abnormality,RAD-ChestXR
I2254,MRI,Muscle,Abdomen abnormality,MIDRC
I2255,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2256,MRI,Muscle,Abdomen abnormality,MIDRC
I2257,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2258,MRI,Abdomen,Lung abnormality,MIDRC
I2259,CT,Lung,Brain abnormality,RAD-ChestXR
I2260,MRI,Lung,Lung abnormality,MIDRC
I2261,CT,Lung,Brain abnormality,RAD-ChestXR
I2262,MRI,Brain,Muscle abnormality,MIDRC
I2263,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2264,MRI,Abdomen,Brain abnormality,MIDRC
I2265,CT,Lung,Brain abnormality,RAD-ChestXR
I2266,MRI,Lung,Lung abnormality,MIDRC
I2267,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2268,MRI,Muscle,Muscle abnormality,MIDRC
I2269,CT,Muscle,Lung abnormality,RAD-ChestXR
I2270,MRI,Muscle,Muscle abnormality,MIDRC
I2271,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2272,MRI,Brain,Abdomen abnormality,MIDRC
I2273,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2274,MRI,Abdomen,Brain abnormality,MIDRC
I2275,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2276,MRI,Lung,Muscle abnormality,MIDRC
I2277,CT,Lung,Lung abnormality,RAD-ChestXR
I2278,MRI,Muscle,Abdomen abnormality,MIDRC
I2279,CT,Brain,Brain abnormality,RAD-ChestXR
I2280,MRI,Brain,Abdomen abnormality,MIDRC
I2281,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2282,MRI,Abdomen,Muscle abnormality,MIDRC
I2283,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2284,MRI,Muscle,Brain abnormality,MIDRC
I2285,CT,Lung,Muscle abnormality,RAD-ChestXR
I2286,MRI,Brain,Muscle abnormality,MIDRC
I2287,CT,Lung,Muscle abnormality,RAD-ChestXR
I2288,MRI,Brain,Muscle abnormality,MIDRC
I2289,CT,Muscle,Brain abnormality,RAD-ChestXR
I2290,MRI,Brain,Brain abnormality,MIDRC
I2291,CT,Muscle,Brain abnormality,RAD-ChestXR
I2292,MRI,Muscle,Lung abnormality,MIDRC
I2293,CT,Lung,Brain abnormality,RAD-ChestXR
I2294,MRI,Abdomen,Abdomen abnormality,MIDRC
I2295,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2296,MRI,Abdomen,Muscle abnormality,MIDRC
I2297,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2298,MRI,Brain,Lung abnormality,MIDRC
I2299,CT,Lung,Muscle abnormality,RAD-ChestXR
I2300,MRI,Brain,Abdomen abnormality,MIDRC
I2301,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2302,MRI,Brain,Lung abnormality,MIDRC
I2303,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2304,MRI,Brain,Lung abnormality,MIDRC
I2305,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2306,MRI,Lung,Lung abnormality,MIDRC
I2307,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2308,MRI,Muscle,Brain abnormality,MIDRC
I2309,CT,Lung,Brain abnormality,RAD-ChestXR
I2310,MRI,Brain,Brain abnormality,MIDRC
I2311,CT,Muscle,Lung abnormality,RAD-ChestXR
I2312,MRI,Brain,Muscle abnormality,MIDRC
I2313,CT,Brain,Muscle abnormality,RAD-ChestXR
I2314,MRI,Muscle,Brain abnormality,MIDRC
I2315,CT,Lung,Brain abnormality,RAD-ChestXR
I2316,MRI,Abdomen,Muscle abnormality,MIDRC
I2317,CT,Abdomen,Abdomen abnormality,RAD-ChestXR
I2318,MRI,Abdomen,Muscle abnormality,MIDRC
I2319,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2320,MRI,Brain,Brain abnormality,MIDRC
I2321,CT,Brain,Lung abnormality,RAD-ChestXR
I2322,MRI,Abdomen,Lung abnormality,MIDRC
I2323,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2324,MRI,Abdomen,Brain abnormality,MIDRC
I2325,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2326,MRI,Brain,Muscle abnormality,MIDRC
I2327,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2328,MRI,Muscle,Abdomen abnormality,MIDRC
I2329,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2330,MRI,Muscle,Abdomen abnormality,MIDRC
I2331,CT,Lung,Brain abnormality,RAD-ChestXR
I2332,MRI,Muscle,Lung abnormality,MIDRC
I2333,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2334,MRI,Brain,Muscle abnormality,MIDRC
I2335,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2336,MRI,Brain,Muscle abnormality,MIDRC
I2337,CT,Lung,Muscle abnormality,RAD-ChestXR
I2338,MRI,Abdomen,Lung abnormality,MIDRC
I2339,CT,Lung,Brain abnormality,RAD-ChestXR
I2340,MRI,Lung,Lung abnormality,MIDRC
I2341,CT,Brain,Muscle abnormality,RAD-ChestXR
I2342,MRI,Muscle,Brain abnormality,MIDRC
I2343,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2344,MRI,Lung,Abdomen abnormality,MIDRC
I2345,CT,Lung,Lung abnormality,RAD-ChestXR
I2346,MRI,Brain,Lung abnormality,MIDRC
I2347,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2348,MRI,Brain,Muscle abnormality,MIDRC
I2349,CT,Brain,Muscle abnormality,RAD-ChestXR
I2350,MRI,Lung,Brain abnormality,MIDRC
I2351,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2352,MRI,Brain,Muscle abnormality,MIDRC
I2353,CT,Lung,Muscle abnormality,RAD-ChestXR
I2354,MRI,Abdomen,Brain abnormality,MIDRC
I2355,CT,Muscle,Brain abnormality,RAD-ChestXR
I2356,MRI,Muscle,Abdomen abnormality,MIDRC
I2357,CT,Brain,Lung abnormality,RAD-ChestXR
I2358,MRI,Muscle,Abdomen abnormality,MIDRC
I2359,CT,Lung,Brain abnormality,RAD-ChestXR
I2360,MRI,Lung,Muscle abnormality,MIDRC
I2361,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2362,MRI,Brain,Lung abnormality,MIDRC
I2363,CT,Brain,Brain abnormality,RAD-ChestXR
I2364,MRI,Muscle,Abdomen abnormality,MIDRC
I2365,CT,Lung,Lung abnormality,RAD-ChestXR
I2366,MRI,Brain,Lung abnormality,MIDRC
I2367,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2368,MRI,Abdomen,Abdomen abnormality,MIDRC
I2369,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2370,MRI,Brain,Brain abnormality,MIDRC
I2371,CT,Brain,Lung abnormality,RAD-ChestXR
I2372,MRI,Muscle,Abdomen abnormality,MIDRC
I2373,CT,Brain,Muscle abnormality,RAD-ChestXR
I2374,MRI,Muscle,Abdomen abnormality,MIDRC
I2375,CT,Muscle,Brain abnormality,RAD-ChestXR
I2376,MRI,Lung,Lung abnormality,MIDRC
I2377,CT,Brain,Brain abnormality,RAD-ChestXR
I2378,MRI,Brain,Abdomen abnormality,MIDRC
I2379,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2380,MRI,Abdomen,Abdomen abnormality,MIDRC
I2381,CT,Lung,Muscle abnormality,RAD-ChestXR
I2382,MRI,Lung,Abdomen abnormality,MIDRC
I2383,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2384,MRI,Lung,Abdomen abnormality,MIDRC
I2385,CT,Lung,Muscle abnormality,RAD-ChestXR
I2386,MRI,Lung,Abdomen abnormality,MIDRC
I2387,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2388,MRI,Brain,Abdomen abnormality,MIDRC
I2389,CT,Brain,Lung abnormality,RAD-ChestXR
I2390,MRI,Muscle,Muscle abnormality,MIDRC
I2391,CT,Lung,Brain abnormality,RAD-ChestXR
I2392,MRI,Lung,Muscle abnormality,MIDRC
I2393,CT,Lung,Muscle abnormality,RAD-ChestXR
I2394,MRI,Lung,Brain abnormality,MIDRC
I2395,CT,Brain,Brain abnormality,RAD-ChestXR
I2396,MRI,Muscle,Muscle abnormality,MIDRC
I2397,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2398,MRI,Lung,Lung abnormality,MIDRC
I2399,CT,Brain,Muscle abnormality,RAD-ChestXR
I2400,MRI,Brain,Abdomen abnormality,MIDRC
I2401,CT,Brain,Brain abnormality,RAD-ChestXR
I2402,MRI,Brain,Lung abnormality,MIDRC
I2403,CT,Brain,Abdomen abnormality,RAD-ChestXR
I2404,MRI,Lung,Brain abnormality,MIDRC
I2405,CT,Muscle,Brain abnormality,RAD-ChestXR
I2406,MRI,Muscle,Lung abnormality,MIDRC
I2407,CT,Lung,Muscle abnormality,RAD-ChestXR
I2408,MRI,Lung,Muscle abnormality,MIDRC
I2409,CT,Brain,Brain abnormality,RAD-ChestXR
I2410,MRI,Lung,Muscle abnormality,MIDRC
I2411,CT,Lung,Lung abnormality,RAD-ChestXR
I2412,MRI,Lung,Lung abnormality,MIDRC
I2413,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2414,MRI,Lung,Muscle abnormality,MIDRC
I2415,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2416,MRI,Brain,Brain abnormality,MIDRC
I2417,CT,Lung,Lung abnormality,RAD-ChestXR
I2418,MRI,Lung,Lung abnormality,MIDRC
I2419,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2420,MRI,Muscle,Muscle abnormality,MIDRC
I2421,CT,Muscle,Brain abnormality,RAD-ChestXR
I2422,MRI,Abdomen,Brain abnormality,MIDRC
I2423,CT,Muscle,Brain abnormality,RAD-ChestXR
I2424,MRI,Muscle,Muscle abnormality,MIDRC
I2425,CT,Lung,Lung abnormality,RAD-ChestXR
I2426,MRI,Lung,Lung abnormality,MIDRC
I2427,CT,Muscle,Brain abnormality,RAD-ChestXR
I2428,MRI,Lung,Muscle abnormality,MIDRC
I2429,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2430,MRI,Muscle,Brain abnormality,MIDRC
I2431,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2432,MRI,Abdomen,Abdomen abnormality,MIDRC
I2433,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2434,MRI,Brain,Brain abnormality,MIDRC
I2435,CT,Lung,Lung abnormality,RAD-ChestXR
I2436,MRI,Muscle,Brain abnormality,MIDRC
I2437,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2438,MRI,Abdomen,Muscle abnormality,MIDRC
I2439,CT,Lung,Brain abnormality,RAD-ChestXR
I2440,MRI,Muscle,Brain abnormality,MIDRC
I2441,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2442,MRI,Brain,Abdomen abnormality,MIDRC
I2443,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2444,MRI,Lung,Abdomen abnormality,MIDRC
I2445,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2446,MRI,Abdomen,Brain abnormality,MIDRC
I2447,CT,Abdomen,Brain abnormality,RAD-ChestXR
I2448,MRI,Lung,Brain abnormality,MIDRC
I2449,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2450,MRI,Muscle,Brain abnormality,MIDRC
I2451,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2452,MRI,Abdomen,Brain abnormality,MIDRC
I2453,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2454,MRI,Muscle,Brain abnormality,MIDRC
I2455,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2456,MRI,Brain,Abdomen abnormality,MIDRC
I2457,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2458,MRI,Lung,Muscle abnormality,MIDRC
I2459,CT,Abdomen,Muscle abnormality,RAD-ChestXR
I2460,MRI,Abdomen,Muscle abnormality,MIDRC
I2461,CT,Muscle,Brain abnormality,RAD-ChestXR
I2462,MRI,Muscle,Abdomen abnormality,MIDRC
I2463,CT,Brain,Brain abnormality,RAD-ChestXR
I2464,MRI,Muscle,Muscle abnormality,MIDRC
I2465,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2466,MRI,Abdomen,Abdomen abnormality,MIDRC
I2467,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2468,MRI,Muscle,Abdomen abnormality,MIDRC
I2469,CT,Lung,Lung abnormality,RAD-ChestXR
I2470,MRI,Brain,Muscle abnormality,MIDRC
I2471,CT,Abdomen,Lung abnormality,RAD-ChestXR
I2472,MRI,Abdomen,Brain abnormality,MIDRC
I2473,CT,Muscle,Muscle abnormality,RAD-ChestXR
I2474,MRI,Brain,Muscle abnormality,MIDRC
I2475,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2476,MRI,Abdomen,Abdomen abnormality,MIDRC
I2477,CT,Muscle,Abdomen abnormality,RAD-ChestXR
I2478,MRI,Lung,Muscle abnormality,MIDRC
I2479,CT,Lung,Abdomen abnormality,RAD-ChestXR
I2480,MRI,Abdomen,Lung abnormality,MIDRC
I2481,CT,Muscle,Abdomen abnormality,RAD-ChestXR
